fecha_de_ocurrencia,estado_del_evento,fecha_de_conclusion,tipo_de_evento,causa_probable,conocido_atendido,autoridad_ambiental,municipio,area_de_incidencia,barrio_vereda_corregimiento,familias_afectadas,viviendas_destruidas,viviendas_averiadas,acueductos_destruidos,vias_afectadas,puentes_obstruidos_afectados,establecimientos_educativos,afectacion_hectareas,epicentro_sismo,magnitud_richter,localizacion_lat_long_profu,heridos,desaparecidos,fallecidos,fecha_de_reporte,alertas,albergues,observaciones
2021-01-29T00:00:00.000,ATENDIDO,2021-01-29T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE MOGOTES,CAS,MOGOTES,RURAL,VEREDA LA CALICHALA,0,0,0,0,0,0,0,30,N/A,N/A,N/A,0,0,0,2021-01-29T00:00:00.000,N/A,N/A,"El comandante de bomberos reporta la atención de un incendio forestal en a la vereda Calichala sector el Guamo, atendido por 6 unidades y apoyo de la comunidad, afectación de 30 hectáreas de vegetación nativa"
2021-01-31T00:00:00.000,ATENDIDO,2021-01-31T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE LEBRIJA,CAS,LEBRIJA,RURAL,VEREDA SANTO DOMINGO,0,0,0,0,0,0,0,4,N/A,N/A,N/A,0,0,0,2021-01-31T00:00:00.000,N/A,N/A,La comandante de bomberos reporta atención de incendio forestal en la vereda Santo Domingo que afectó 4 hectáreas de vegetación nativa y bosques
2021-01-31T00:00:00.000,ATENDIDO,2021-01-31T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE LEBRIJA,CAS,LEBRIJA,RURAL,VEREDA LA VICTORIA,0,0,0,0,0,0,0,3,N/A,N/A,N/A,0,0,0,2021-01-31T00:00:00.000,N/A,N/A,"La comandante de bomberos reporta atención de incendio forestal en la vereda la Vioctoria que afectó 43hectáreas de vegetación de rastrojos, causas en investigación de la autorida ambiental por ser quema controlada"
2021-01-31T00:00:00.000,ATENDIDO,2021-01-31T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE VELEZ,CAS,VELEZ,RURAL,VEREDA LOS GUAYABOS,0,0,0,0,0,0,0,1,N/A,N/A,N/A,0,0,0,2021-01-31T00:00:00.000,N/A,N/A,"El comandante de bomberos reporta la atención de un incendio forestal ene le sector los Guayabos, atendido por 4 unidades de bomberos, se afectó 01 hectárea de pastizales"
2021-02-01T00:00:00.000,ATENDIDO,01/02/2021INCENDIO FORESTAL,N/A,INDETERMINADO,BOMBEROS DE PARAMO,CAS,PARAMO,RURAL,VEREDA EL MORAL,0,0,0,0,0,0,0,5,N/A,N/A,N/A,0,0,0,2021-02-01T00:00:00.000,N/A,N/A,"La comandante de bomberos reporta atención de incendio forestal en la vereda el Moral afectando un cultivo de caña de aproximadamente 5 hectáreas, liquidado por bomberos del Páramo y apoyo de bomberos del Valle de San José"
2021-02-01T00:00:00.000,ATENDIDO,01/02/2021INCENDIO FORESTAL,N/A,INDETERMINADO,BOMBEROS DE ZAPATOCA,CAS,ZAPATOCA,RURAL,CORREGIMIENTO LA PLAZUELA,0,0,0,0,0,0,0,1,N/A,N/A,N/A,0,0,0,2021-02-01T00:00:00.000,N/A,N/A,"El comandante de bomberos reporta la atención de un incendio forestal la vereda Villa Franca corregimiento la Plazuela, atendido por bomberos de San Vicente de Chucurí, 01 hectárea de pastizales afectada."
2021-02-02T00:00:00.000,ATENDIDO,2021-02-02T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE FLORIDABLANCA,CDMB,GIRON,RURAL,VEREDA SAN RAFAEL,0,0,0,0,0,0,0,4,N/A,N/A,N/A,0,0,0,2021-02-02T00:00:00.000,N/A,N/A,"EL CMGRD reporta incendio forestal en la vereda San Rafel atendido por bomberos de Floridablanca, se afectaron 4 hectáreas de vegetación natural, causas desconocidas"
2021-02-03T00:00:00.000,ATENDIDO,2021-02-03T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE BARBOSA,CAS,GUEPSA,RURAL,VEREDA EL CENTRO,0,0,0,0,0,0,0,5,N/A,N/A,N/A,0,0,0,2021-02-03T00:00:00.000,N/A,N/A,"El comandante de bomberos del municipio de Barbosa reporta la atención de un incendio forestal en la vereda el Centro del municipio de Guepsa, afectando unas 5 hectáreas de bosques y pastizales, el municipio de Guepsa no cuenta con cuerpo de bomberos"
2021-02-03T00:00:00.000,ATENDIDO,2021-02-05T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE LA BELLEZA,CAS,LA BELLEZA,RURAL,VEREDA MARGUELINA,0,0,0,0,0,0,0,4,N/A,N/A,N/A,0,0,0,2021-02-03T00:00:00.000,N/A,N/A,"El comandante de bomberos reporta la atención de un incendio forestal en la vereda Margelina que afectó 2 hectáreas de bosques, causas en investigación por ser quema controlada"
2021-02-04T00:00:00.000,ATENDIDO,2021-02-04T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE PUERTO WILCHES,CAS,PUERTO WILCHES,RURAL,VEREDA EL DIAMANTE,0,0,0,0,0,0,0,20,N/A,N/A,N/A,0,0,0,2021-02-04T00:00:00.000,N/A,N/A,"El comandante de bomberos del municipio de Puerto Wilches reporta atención de incendio forestal en la vereda el Diamante y km. 16, afectando 20 hectáreas de pastizales y cultivo de palma de aceite, estado Liquidado"
